frame,spritename,x,y,w,h,confidence
421,ground.png,78,322,26,38,0.965356
421,ground.png,0,322,26,38,0.875674
421,ground.png,232,322,26,38,0.968942
421,largeHillS.png,0,265,130,56,0.926012
421,largeHillS.png,0,261,130,56,0.800603
421,smallHillS.png,26,265,78,30,0.974587
421,smallHillS.png,23,269,78,30,0.79875
421,smallHillS.png,30,263,78,30,0.753477
421,smallHillS.png,29,269,78,30,0.782332
422,bush2S.png,322,295,78,26,0.773027
422,bush3S.png,296,295,104,26,0.944192
422,cloud1S.png,219,64,52,39,0.95595
422,ground.png,129,322,26,38,0.940144
422,ground.png,206,322,26,38,0.871087
422,ground.png,104,322,26,38,0.876928
422,ground.png,361,322,26,38,0.976491
422,ground.png,52,322,26,38,0.999855
422,ground.png,181,322,26,38,0.94504
422,ground.png,26,322,26,38,0.970057
422,ground.png,284,322,26,38,0.966091
422,ground.png,335,322,26,38,0.949352
